TIME_PERIOD,REF_AREA,Satisfaction_with_Democracy,Trust_in_Court_and_Legal_System,Trust_in_Legislature,Trust_in_National_Government,Gender_Equality_in_Parliament,Gender_equality_in_Senior_Management_Positions,Percent_Under_20,Percent_Over_65,Life_Expectancy,Population,Mean_Annual_Wages,Low_Pay,WBS,WBSu5,GDP_Growth_Rate
2021,AUS,,52.6,37.35,38.0,31.1,,0.2425349517182659,0.11809508994425001,83.3,25688079.0,60681.4985470798,,,,4.26894639349867
2021,AUT,,59.97,31.07,25.8,39.9,40.5,0.19252998373460598,0.14101984914293886,81.3,8951520.0,65402.3162965476,14.9569576909318,8.0,3.462863341,4.23786673253257
2021,BEL,,51.09,32.6,31.8,42.0,25.3,0.22243613242542923,0.13939458728608198,81.9,11552615.0,65520.8213051768,,7.5,3.236109018,6.85099562281209
2021,CAN,,55.66,43.73,44.7,29.6,,0.21133638765444848,0.12685582655256572,81.6,38226498.0,59568.7827892649,19.543631583376,7.9,2.8,5.28695688126488
2021,CHE,90.56,,,,42.0,,0.1992748153779946,0.13850183042370293,83.9,8704542.0,72358.4396707178,,,,5.39188809765432
2021,COL,,19.12,11.0,20.5,18.8,,0.30929152899822054,0.06145133265638155,76.8,51117378.0,22248.491555719,11.4243491195806,,,10.8011981904878
2021,CZE,58.09,,,,23.0,28.3,0.2079055505030545,0.1423402867386926,77.2,10500850.0,36269.7079920766,17.25,7.3,6.147288531,3.55302130899084
2021,DEU,57.37,,,,31.5,30.2,0.18491547606163541,0.16131230756604434,80.8,83196076.0,60291.2417705174,,7.2,9.655242413,3.16381994194574
2021,DNK,,78.12,50.92,48.8,39.7,26.4,0.21999579842634143,0.1482376039474964,81.5,5850189.0,66503.047789185,9.54,7.3,8.976695687,6.84452192744794
2021,ESP,38.86,,,,44.0,43.1,0.19290556876766557,0.14623284843199766,83.3,47331302.0,44443.8899670243,11.3788979993192,7.2,7.455146313,6.40317361484542
2021,EST,54.68,64.61,40.03,46.5,27.7,48.5,0.21306723408859354,0.14455659643017074,77.2,1330932.0,37317.8229724108,19.8142752046871,7.2,6.807089597,7.24932647469067
2021,FIN,84.62,,52.88,61.5,46.0,56.3,0.2087687826429069,0.16484654449902725,81.9,5541020.0,52785.319629001,8.35929361939368,7.9,2.514689788,2.83817960418033
2021,FRA,48.32,41.7,26.44,28.1,39.5,31.1,0.2378013194582259,0.15059374409635426,82.4,67738863.0,52542.1889164276,9.68787069174014,6.8,8.99553448,6.43520962016346
2021,GBR,,68.07,34.16,34.8,33.9,34.8,0.22891409538215243,0.13700589315010892,,67026292.0,54762.303325297,16.66,7.54,5.08,8.67490408187011
2021,GRC,44.53,,,,21.7,56.4,0.19017275745559437,0.1674921619030976,80.2,10569211.0,27659.571732801,,6.8,11.23000011,8.37994406897124
2021,HRV,27.51,,,,31.1,57.6,,,,,,,,,
2021,HUN,46.4,,,,12.6,18.7,0.19609248011280866,0.13645814634620587,74.3,9709893.0,28462.42341444,21.04,6.5,11.73693612,7.08572084592274
