TIME_PERIOD,Reference_Area,Female,Male,Life_Expectancy
1960,ARG,67.6,60.9,64
1960,AUS,73.9,67.9,
1960,AUT,71.9,65.4,68.7
1960,BEL,72.8,66.8,69.7
1960,BGR,71.1,67.5,69.3
1960,BRA,55.2,50.3,52.7
1960,CHE,74.1,68.7,71.4
1960,CHL,60.1,54.6,57.3
1960,CHN,34.6,32.1,33.3
1960,COL,58.3,52.2,55.2
1960,CRI,62,58.9,60.4
1960,CZE,73.5,67.8,70.7
1960,DEU,71.7,66.5,69.1
1960,DNK,74.4,70.4,72.4
1960,ESP,72.2,67.4,69.8
1960,EST,73.1,64.7,69.4
1960,FIN,72.5,65.5,69
1960,FRA,73.6,67,70.3
1960,GBR,73.7,67.9,70.8
1960,HUN,70.2,65.9,68.1
1960,IDN,47.9,45,46.5
1960,IND,44.5,45.9,45.2
1960,IRL,71.9,68.1,70
1960,JPN,70.2,65.3,67.8
1960,LUX,72.2,66.5,69.4
1960,MEX,59.2,55.8,
1960,NLD,75.4,71.5,73.5
1960,NOR,76,71.6,73.8
1960,PER,51.6,49.4,50.5
1960,POL,70.6,64.9,67.8
1960,PRT,66.7,61.1,64
1960,RUS,70.2,62.1,66.2
1960,SVK,72.7,67.9,70.3
1960,SWE,74.9,71.2,73.1
1960,TUR,50.3,46.3,48.3
1960,USA,73.1,66.6,69.7
1960,ZAF,54.8,50.9,52.7
1961,ARG,68,61.2,64.4
1961,AUS,74.4,68,
1961,AUT,72.8,66.5,69.7
1961,BEL,73.6,67.6,70.5
1961,BGR,72.3,68.5,70.4
1961,BRA,55.8,50.8,53.2
1961,CAN,74.2,68.4,
1961,CHE,74.6,68.9,71.8
1961,CHL,60.5,54.9,57.7
1961,CHN,42.1,39,40.5
1961,COL,58.7,52.6,55.6
1961,CRI,62.7,59.5,61
1961,CZE,73.6,67.7,70.7
1961,DEU,72.3,67,69.7
1961,EST,73.3,65.1,69.7
1961,FRA,74.4,67.5,71
1961,GBR,73.6,67.8,70.7
1961,GRC,73.8,70.2,72.1
1961,HUN,71.2,66.8,69
1961,IDN,48.5,45.7,47.1
1961,IND,44.7,46.1,45.4
1961,ISL,76.3,70.8,73.5
1961,ITA,72.3,67.2,69.8
1961,JPN,70.8,66,68.4
1961,MEX,59.8,56.5,
1961,NLD,75.9,71.6,73.8
1961,NOR,76.2,71.4,73.8
1961,NZL,73.8,68.4,71.1
1961,PER,52.2,50,51.1
1961,POL,70.8,64.9,67.8
1961,PRT,65.4,59.9,62.7
1961,RUS,70.8,62.6,66.7
1961,SVK,73.2,68.6,70.9
1961,SWE,75.4,71.6,73.5
1961,TUR,51,47,49
1961,USA,73.6,67.1,70.2
1961,ZAF,55.3,51.2,53.1
1962,ARG,68,61,64.2
1962,AUS,74.2,67.8,71
1962,AUT,72.5,66.3,69.4
1962,BEL,73.2,67.4,70.3
1962,BGR,71.5,67.8,69.6
1962,BRA,56.3,51.3,53.7
1962,CHE,74.1,68.4,71.3
1962,CHL,61,55.3,58.1
1962,CHN,53,48.8,50.8
