TIME_PERIOD,REF_AREA,High_Pay,Low_Pay
1991,AUS,,13.9151470797504
1991,GBR,,20.690553427742
1991,JPN,,17.0774825281095
1991,POL,,13.5749851978405
1991,USA,,22.5563909774436
1992,AUS,,13.8645166837184
1992,DEU,16.765799246067,20.8478302000736
1992,GBR,,20.9099452681082
1992,HUN,,19.4
1992,JPN,,16.0731185124711
1992,KOR,,22.3525584443615
1992,POL,,13.4807144672999
1992,USA,,23.1502388705345
1993,AUS,,13.1674364785664
1993,DEU,17.2209361177012,16.5457552233573
1993,GBR,,20.817020796415
1993,HUN,,19.22
1993,JPN,,15.8838443220808
1993,KOR,,23.1300387380784
1993,POL,,14.9890461559489
1993,USA,,23.9212326757654
1994,AUS,,13.5079423222537
1994,DEU,15.5381154816345,14.5083939380005
1994,GBR,,20.7282405605569
1994,HUN,,20.78
1994,JPN,,15.5398181000515
1994,KOR,,22.5469285177907
1994,POL,,16.6082568319704
1994,USA,,25.0597969763902
1995,AUS,,13.8290371671028
1995,DEU,16.6994608772034,13.5554760695159
1995,GBR,,21.3039736906367
1995,HUN,,19.94
1995,JPN,,15.3561965983311
1995,KOR,,22.2553734076469
1995,OECD,23.098021167319,16.6439313624474
1995,POL,,16.3780508427454
1995,USA,,25.1660450477695
1996,CZE,,16.9542109863328
1996,DEU,16.6199456814864,13.776317212292
1996,GBR,,21.1045993327832
1996,HUN,,21.0055823613112
1996,JPN,,15.3240651933218
1996,KOR,,22.6379697729594
1996,OECD,23.094406840241,16.6941141171506
1996,POL,,17.3458144194629
1996,USA,,25.1182384126356
1997,AUS,,12.1775502145619
1997,CAN,19.5781513281618,21.880982179649
1997,CZE,,17.1497902122456
1997,DEU,15.7503879800691,14.1015683697079
1997,GBR,,20.9838973065267
1997,HUN,,21.8678805124363
1997,JPN,,15.1552341401151
1997,KOR,,22.8774224205735
1997,NZL,,13.2702444096613
1997,OECD,23.0309242120965,16.6044063021439
1997,POL,,17.534355880544
1997,USA,,24.8733676718887
1998,AUS,,12.7617214281984
1998,CAN,20.6322715636815,21.177603252845
1998,CHL,30.5652269231835,25.4687965048121
1998,DEU,17.0152082448036,15.2114979646625
1998,GBR,,21.2822098631915
1998,HUN,,21.9976953312571
1998,JPN,,14.7390748439868
1998,KOR,,23.1369988006526
1998,NZL,,13.1205562127805
1998,OECD,23.1123733203917,16.6602046333414
1998,POL,,17.7228973416251
1998,USA,,24.5282229381983
1999,AUS,,14.3537848280428
1999,BEL,10.6,
1999,CAN,20.4705210382526,23.0643019142477
1999,CZE,,17.6252438968093
1999,DEU,17.2709621873573,15.5136088322748
1999,GBR,,20.5775066109814
1999,HUN,,22.6714076786994
1999,JPN,,14.5809688060692
1999,KOR,,23.40730740438
1999,NZL,,12.2840470115988
