TIME_PERIOD,REF_AREA,Mean_Annual_Wages
1991,AUS,42309.381475963
1991,AUT,52697.396613846
1991,BEL,53018.6391581166
1991,CAN,42426.3028473057
1991,CHE,56464.6252645637
1991,CRI,12784.297574998
1991,DEU,45193.2565126118
1991,DNK,47454.3120941348
1991,ESP,41351.5259925209
1991,EST,10671.3012112055
1991,FIN,39306.7189611565
1991,FRA,39638.5866732702
1991,GBR,36982.9136260986
1991,IRL,30033.0971486061
1991,ISL,46610.2836199708
1991,ITA,45341.6924839904
1991,JPN,40378.5591062939
1991,KOR,25148.5787241075
1991,LUX,55284.5693574514
1991,MEX,16351.673740265
1991,NLD,58878.8374966705
1991,NOR,30454.4949733182
1991,NZL,32951.4143710611
1991,OECD,40312.0788302247
1991,SWE,30050.7211157699
1991,USA,52224.4237931313
1992,AUS,43173.7713335452
1992,AUT,53759.0566496298
1992,BEL,54718.7288916038
1992,CAN,43045.9007668797
1992,CHE,56948.8043189322
1992,CRI,13114.4640062442
1992,DEU,47965.9727828687
1992,DNK,49053.2603836945
1992,ESP,42879.6507611101
1992,EST,10671.3012112055
1992,FIN,38712.9528316483
1992,FRA,40082.3511245436
1992,GBR,37721.3554520415
1992,IRL,31284.5119214055
1992,ISL,44994.3457102409
1992,ITA,45297.7967314745
1992,JPN,40433.7594484523
1992,KOR,26213.877987793
1992,LUX,56753.472036191
1992,MEX,17241.4851405663
1992,NLD,59189.3493047817
1992,NOR,30843.7657454823
1992,NZL,34407.171337291
1992,OECD,41100.9543601141
1992,SWE,30992.3741194999
1992,USA,53434.8390382302
1993,AUS,43578.2414216826
1993,AUT,54197.3697073466
1993,BEL,55868.8318085494
1993,CAN,42952.7188935605
1993,CHE,57572.4593793884
1993,CRI,13999.4385019019
1993,DEU,48281.8621513076
1993,DNK,49596.1068321572
1993,ESP,43564.6012700928
1993,EST,10671.3012112055
1993,FIN,37357.3276241361
1993,FRA,40543.7861592061
1993,GBR,38323.5296419673
1993,IRL,32833.1074144844
1993,ISL,42616.1169616421
1993,ITA,44600.0611347024
1993,JPN,40123.2122651484
1993,KOR,27825.8036983954
1993,LUX,57853.1049837761
1993,MEX,17941.1278826843
1993,NLD,60185.8544507792
1993,NOR,31137.9737224772
1993,NZL,35296.8926517571
1993,OECD,41162.5417194467
1993,SWE,30586.2949337537
1993,USA,53133.7567900659
1994,AUS,43873.8569453328
1994,AUT,54743.42405879
1994,BEL,56952.7771137702
1994,CAN,42464.1758383079
1994,CHE,58283.2104924746
1994,CRI,16987.2905137985
1994,DEU,48388.1191166808
1994,DNK,47871.6287216169
1994,ESP,44019.5629260045
1994,EST,10671.3012112055
1994,FIN,37886.7819975668
1994,FRA,40713.4688176485
1994,GBR,38989.3450197479
1994,IRL,33047.4279704061
1994,ISL,43473.9206281312
1994,ITA,44022.5145584468
1994,JPN,40523.1594031178
